ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics
967,2,Complex Object Insertion Rules,"  ""Savior"" a man that saves people -> Savior",1,  Luke 2:11 A man that will save people was born for you in Bethlehem today.-*-,-*-,"{~|c-(~|n-Aman,Aperson~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,Aman,Aperson~|N-)~|(~|v-Asave,Csave~|V-)~|(~|n-,P,Aperson~|N-P,,,,,,,,,,,,,,,,,,,,,)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aman,Aperson~|N-^~|Delete~|0Asavior~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,p,^~|Delete~|0Aman,Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Asave,Csave~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,^~|Delete~|0Aperson~|N-P,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Asave,Csave,",,2,,000-*-,,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Asavior
971,2,Complex Object Insertion Rules,"  ""Scribe"" man that teaches other people about the law that Moses wrote -> Scribe",1,  Luke 5:17  The Pharisees and some people that teach people about the law that Moses wrote were listening to Jesus.-*-,-*-,"{~|c-(~|n-Aman,Aperson~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,Aman,Aperson~|N-)~|(~|v-Ateach~|V-)~|(~|n-,P,Blaw,ALaw~|N-)~|(~|n-,d,Aperson~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aman,Aperson~|N-^~|Delete~|0Ascribe~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,p,^~|Delete~|0Aman,Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Ateach~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,^~|Delete~|0Blaw,ALaw~|N-^~|Delete~|0)~|^~|Delete~|0(~|n-,d,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Ateach,",,2,,0000-*-,,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Ascribe
977,1,Complex Object Insertion Rules,"  ""sinner"" 'person who does things that God hates; OR 'person who routinely lives badly' -> sinner",1,  Luke 6:32  The verb 'do' must be Affirmative because we don't want this rule applying in Luke 7:47  A person who does not sin often does not love me much.-*-  Luke 6:32  The verb 'do' must be Affirmative because we don't want this rule applying in Luke 7:47  A person who does not sin often does not love me much.-*-,-*--*-,"{~|c-(~|n-.~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Ado~|V-,,,,A,,,,,,,,,,,,)~|(~|n-,P,,,,,,,,,,,,Bthing~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,AGod~|N-)~|(~|v-Ahate~|V-)~|(~|n-,P,,,,,,,,,,,,Bthing~|N-)~|]~|)~|]~|)~|}~|-*-{~|c-(~|n-.~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Blive~|V-,R,,,,,,,,,,,,,,,,)~|(~|d-Abadly~|a-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-^~|Delete~|0Asinner~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Ado~|V-,,,,A,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Bthing~|N-^~|Delete~|0[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0AGod~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Ahate~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Bthing~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-^~|Delete~|0Asinner~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Blive~|V-,R,,,,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|d-^~|Delete~|0Abadly~|a-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,11000-*-11-*-,,NN0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NN0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Asinner
1049,1,Complex Object Insertion Rules,"  ""flea"" a small insect that lives on a dog",1,  1 Samuel 24:14  -*-,"18,18-*-","{~|c-(~|n-(~|j-Asmall~|A-)~|Ainsect~|N-[~|c-(~|n-,A,,,,,,,,,,,,Ainsect~|N-)~|(~|v-Alive~|V-)~|(~|n-,d,,,,,,,,,,,,Adog~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aflea~|N-S,D,A,n,K,3,N,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,~|Insert~|1(~|j-^~|Delete~|0Asmall~|A-^~|Delete~|0)~|^~|Delete~|0Ainsect~|N-^~|Delete~|0[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Ainsect~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Alive~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,d,,,,,,,,,,,,^~|Delete~|0Adog~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,000-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Aflea
1050,2,Complex Object Insertion Rules,"  ""Scribe"" a man that teaches people about the laws that Moses wrote",1,  Luke 5:17  Some Pharisees and some people that teach people about the law that Moses wrote ...-*-  Luke 11:45 A man that knew Moses' Law well ...-*-,"14,96-*--*-","{~|c-(~|n-.~|N-[~|c-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Ateach~|V-)~|(~|n-,d,,,,,,,,,,,,Aperson~|N-)~|(~|n-,P,,,,,,,,,,,,Blaw~|N-)~|]~|)~|}~|-*-{~|c-(~|n-.~|N-[~|c-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Cknow~|V-)~|(~|n-,P,,,,,,,,,,,,Blaw~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-^~|Delete~|0Ascribe~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Ateach~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,d,,,,,,,,,,,,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Blaw~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-^~|Delete~|0Ascribe~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Cknow~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Blaw~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Ateach,Cknow,",,2,,0000-*-000-*-,,NN0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NN0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Ascribe
932,2,Complex Event Insertion Rules,"  ""to sign"" X writes X's name on Y -> X signs Y",1,"  Daniel 6:8,9,10,11,12,13,15  This doesn't apply when someone writes someone else's name on a letter as in Esther 8:10. The secretaries wrote the king's name on the letters.-*-",-*-,"{~|c-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Gwrite~|V-)~|(~|n-,P,Aname~|N-(~|n-.~|N-)~|)~|(~|n-Gin,Con~|P-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0.~|N-^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Gwrite~|V-^~|Delete~|0Asign~|V-P,U,I,N,A,N,^5|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,^~|Delete~|0Aname~|N-^~|Delete~|0(~|n-^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Gin,Con~|P-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Gwrite,",,2,,101-*-,,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2Asign
933,2,Complex Event Insertion Rules,"  ""to circumcise"" X cuts off Y's foreskin -> X circumcizes Y",1,  Luke 1:59  The priest circumcised the baby.-*-  Gen. 17:11  You circumcise yourself.-*-,"-*-15,38-*-","{~|c-(~|n-,A,)~|(~|v-Acircumcise,Acut-off~|V-)~|(~|n-,P,Aforeskin~|N-(~|n-A-Body Part~|P-.~|N-)~|)~|}~|-*-{~|c-(~|n-,A,.~|N-)~|(~|v-Acircumcise,Acut-off~|V-)~|(~|n-,P,Aforeskin~|N-(~|n-A-Body Part~|P-.~|N-)~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Acircumcise,Acut-off~|V-^~|Delete~|0Acircumcise~|V-P,U,I,N,A,N,^4|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,^~|-1~|0Aforeskin~|N-^~|Delete~|0(~|n-^~|Delete~|0A-Body Part~|P-^~|Delete~|0.~|N-^~|~|0)~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0.~|N-^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Acircumcise,Acut-off~|V-^~|Delete~|0Acircumcise~|V-P,U,I,r,A,N,,,,,,,,,,,^5|Time,Aspect,Mood,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,^~|-1~|0Aforeskin~|N-^~|Delete~|0(~|n-^~|Delete~|0A-Body Part~|P-^~|Delete~|0.~|N-^~|~|0)~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Acircumcise,Acut-off,",,2,,00-*-101-*-,,No,No,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2Acircumcise
934,2,Complex Object Attribute Insertion Rules,"  ""blind"" a person that is not able to see things -> blind person",1,"  Luke 6:39  A person that is not able to see things is not able to lead another person that is not able to see things.-*-  This structure doesn't insert the word ""blind"" because it includes the adverb ""well"" as in Gen. 27:1 When Isaac was old, he didn't see well.-*-","14,119-*--*-","{~|c-(~|n-.~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Dbe~|V-,,,,N,,,,,,,,,,,,,)~|(~|j-Aable~|A-[~|c-(~|n-,A,,,,,,,,,,,,)~|(~|v-Asee~|V-)~|(~|n-,P,,,,,,,,,,,,Athing~|N-)~|]~|)~|]~|)~|}~|-*-{~|c-(~|n-.~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Dbe~|V-,,,,N,,,,,,,,,,,,,)~|(~|j-Aable~|A-[~|c-(~|n-,A,,,,,,,,,,,,)~|(~|v-Asee~|V-)~|(~|n-,P,,,,,,,,,,,,Athing~|N-)~|(~|d-Awell~|a-)~|]~|)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0(~|j-S,A,^~|-1~|1Ablind~|A-N,^~|Insert~|1)~|^~|-1~|1.~|N-^~|~|0[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Dbe~|V-,,,,N,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|j-^~|Delete~|0Aable~|A-^~|Delete~|0[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Asee~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Athing~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-^~|~|0[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0Dbe~|V-,,,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0(~|j-^~|-1~|0Aable~|A-^~|~|0[~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Asee~|V-^~|~|0)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Athing~|N-^~|~|0)~|^~|-1~|0(~|d-^~|-1~|0Awell~|a-^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Dbe,",,2,,110-*-110-*-,,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3Ablind
935,2,Complex Object Insertion Rules,"  ""bridegroom"" a man that will marry a woman soon -> bridegroom",1,"  Luke 5:34  While a man that will marry a woman soon is with his friends, ...-*-","14,78-*-","{~|c-(~|n-Aman~|N-[~|c-(~|n-,A,,,,,,,,,,,,Aman~|N-)~|(~|v-Amarry~|V-)~|(~|n-,P,,,,,,,,,,,,Awoman~|N-)~|(~|d-Asoon~|a-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aman~|N-^~|Delete~|0Abridegroom~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Aman~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Amarry~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Awoman~|N-^~|Delete~|0)~|^~|Delete~|0(~|d-^~|Delete~|0Asoon~|a-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Amarry,",,2,,000-*-,,No,No,0,0000000000000000000000000,1Abridegroom
936,2,Complex Object Insertion Rules,"  ""cemetery"" place where people bury people that died -> cemetery",1,  Luke 8:27  This man lived at the place where people bury people that died.-*-,-*-,"{~|c-(~|n-Aplace~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,Aperson~|N-)~|(~|v-Abury~|V-)~|(~|n-,P,,,,,,,,,,,,Aperson~|N-)~|(~|n-.~|P-Aplace~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aplace~|N-^~|Delete~|0Acemetery~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Abury~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|n-^~|Delete~|0.~|P-^~|Delete~|0Aplace~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Abury,",,2,,0000-*-,,No,No,0,0000000000000000000000000,1Acemetery
