ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics,ExecutePSRs
335,2,Case Frames P-Q,  Case Frame for 'promise',1,  Kande's Story 3:7 Jumoke promised Kande that he wouldn't use drugs.-*-  -*-,"21,69-*--*-","{~|c-(~|v-Apromise~|V-)~|(~|n-,P,,,,,,,,,,,,.~|N-[~|c-(~|n-.~|N-)~|]~|)~|}~|-*-{~|c-(~|v-Apromise~|V-)~|[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Apromise~|V-^~|~|0)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0.~|N-^~|~|0Move0![~|c-P,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0Apromise~|V-^~|~|0)~|^~|-1~|0Copy5~|n-,P,,,,,,,,,,,,^~|-1~|1CopyPhrase6~|N-^~|-1~|1CopyPhrase7~|c-^~|-1~|1[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-","Apromise,",,2,,11-*-0-*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
336,2,Case Frames I-K,  Case Frame for 'know-how',1,  Clauses 1:45 John knows how to read a book.-*-,-*-,"{~|c-(~|n-,A,,,,,,,,,,,,)~|(~|v-Bknow~|V-)~|[~|c-P,,,,,,,,,,,,,,,,,,,,,,,(~|d-Ahow~|a-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Bknow~|V-^~|Delete~|0Aknow-how~|V-P,U,I,N,A,N,^4|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0[~|c-P,D,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0Copy1~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase2~|^~|-1~|1(~|d-^~|Delete~|0Ahow~|a-^~|Delete~|0)~|^~|Delete~|0]~|^~|-1~|0}~|^~|-1~|0-*-","Bknow,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
337,2,Case Frames R-S,  Case Frame for 'smell',1,  Daniel 3:27 The men did not smell like smoke.-*-  Luke 7:37  ... oil that smelled good.-*-,"15,47-*-14,39-*-","{~|c-(~|v-Asmell~|V-)~|(~|n-Ajust-like~|P-)~|}~|-*-{~|c-(~|v-Asmell~|V-)~|(~|j-,P,,,,,Abad,Agood~|A-)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Asmell~|V-^~|Delete~|0Csmell~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Ajust-like~|P-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0Asmell~|V-^~|Delete~|0Bsmell~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|j-,P,,,,,^~|-1~|0Abad,Agood~|A-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Asmell,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
338,2,Case Frames A-B,  Case frame for 'born',1,  Genesis 37:3-*-,-*-,"{~|c-,,,,,,,,,,,B,,,,,,,,,,,,(~|v-Aborn~|V-)~|}~|-*-","{~|c-,,,,,,,,,,,N,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|0Aborn~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Aborn,",,2,,-*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
340,2,Case Frames R-S,  Case Frame for 'speak',1,  Daniel 6:12  The officials spoke to the king about the new law.-*-  Luke 2:36  God spoke to people through Anna.-*-,"16,65-*-14,46-*-","{~|c-(~|v-Aspeak~|V-)~|(~|n-,d,,,,,,,,,,,,(~|n-Aabout~|P-)~|)~|}~|-*-{~|c-(~|v-Aspeak~|V-)~|(~|n-,d,,,,,,,,,,,,(~|n-Athrough~|P-)~|)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Aspeak~|V-^~|~|0)~|^~|-1~|0(~|n-,d,,,,,,,,,,,,^~|-1~|0Move0!(~|n-,P,,,,,,,,,,,,^~|-1~|0Aabout~|P-^~|Delete~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0Aspeak~|V-^~|~|0)~|^~|-1~|0(~|n-,d,,,,,,,,,,,,^~|-1~|0Move0!(~|n-^~|-1~|0Athrough~|P-^~|~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Aspeak,",,2,,,,0,0,0,0000000000000000000000000,,0100000000000000000000000
341,3,Collocation Corrections - Changing Word Senses,  'close relative',1,  Ruth 3:2 Boaz is our close relative.-*-,"12,38-*-",{~|c-(~|v-Dbe~|V-)~|(~|j-Aclose~|A-(~|n-Arelative~|N-)~|)~|}~|-*-,"{~|c-^~|-1~|0(~|v-^~|-1~|0Dbe~|V-^~|Delete~|0Bbe~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|j-^~|Delete~|0Move8!Aclose~|A-^~|~|0(~|n-,S,,,,,,,,,,,,^~|-1~|0(~|j-S,A,^~|-1~|1)~|^~|-1~|1Arelative~|N-^~|-1~|0)~|^~|-1~|0)~|^~|Delete~|0}~|^~|-1~|0-*-","Aclose,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
342,4,Comparative Constructions,  Adverbial Comparative Construction with 'more',1,  Adverbs 1:2 John walked more quickly than Mary.-*-,-*-,{~|c-&(~|n-&Athan~|P-&.~|N-&)~|(~|d-Amore~|a-)~|(~|d-.~|a-)~|}~|-*-,"{~|c-^~|-1~|0&Move8!(~|n-^~|-1~|0&Athan~|P-^~|Delete~|0&.~|N-^~|~|0&)~|^~|-1~|0(~|d-^~|Delete~|0Amore~|a-^~|Delete~|0)~|^~|Delete~|0(~|d-^~|-1~|0.~|a-C,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Amore,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
343,2,Case Frames G-H,  Case Frame for 'hit',1,  Daniel 8:7  The goat hit the ram.-*-  Discourse 1:10 The stone hit Goliath's forehead.-*-,"15,35-*-18,50-*-","{~|c-(~|n-,A,,,,,,,,,,,,Agoat~|N-)~|(~|v-Ahit~|V-)~|}~|-*-{~|c-(~|n-,A,,,,,,,,,,,,Astone~|N-)~|(~|v-Ahit~|V-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0Agoat~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0Ahit~|V-^~|Delete~|0Bhit~|V-P,U,I,N,A,N,^5|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0Astone~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0Ahit~|V-^~|Delete~|0Chit~|V-P,U,I,N,A,N,^5|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0}~|^~|-1~|0-*-","Ahit,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
344,5,Collocation Corrections - Changing Word Senses,   Change 'without-A' to 'without-B',1,  Noun Phrases 1:16 John walked without Mary.-*-,"21,45-*-","{~|c-(~|n-Awithout~|P-.~|N-,,,,,,,,,,,,,,,,,P,,,,)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Awithout~|P-^~|Delete~|0Bwithout~|P-^~|Insert~|1.~|N-,,,,,,,,,,,,,,,,,P,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Awithout,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
345,2,Case Frames A-B,  Case Frame for 'bow',1,"  Daniel 3:4  A generic rule set all NPs with to to Destinations.  For bow, we want the NP with to to be a Patient.  Daniel 2:46 Neb bowed in front of Daniel.-*-","47,48,72,74,97,98,130,158-*-","{~|c-(~|v-Abow~|V-)~|(~|n-,dN,,,,,,,,,,,,&Ain-front-of~|P-)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Abow~|V-^~|~|0)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0&Ain-front-of~|P-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Abow,",,2,"4,27,2,35^",,,0,0,0,0000000000000000000000000,,
