ID,Name,Structure,Comment,SavedText,NameFonts,CommentFonts
1,  walk,"{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,U,I,N,A,N,.,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,walks,"3,6",
281,"  walk (Time=Past, Aspect=Unmarked, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,U,I,N,A,N,P,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,walked,"3,6",
282,"  walk (Time=Future, Aspect=Unmarked, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,U,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will walk,"3,6",
283,"  walk (Time=Present, Aspect=Unmarked, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,U,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,walks,"3,6",
284,"  walk (Time=Past, Aspect=Completive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,C,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,finished walking,"3,6",
285,"  walk (Time=Future, Aspect=Completive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,C,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will finish walking,"3,6",
286,"  walk (Time=Present, Aspect=Completive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,C,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,finishes walking,"3,6",
287,"  walk (Time=Past, Aspect=Inceptive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,N,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,started walking,"3,6",
288,"  walk (Time=Future, Aspect=Inceptive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,N,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will start walking,"3,6",
289,"  walk (Time=Present, Aspect=Inceptive, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,N,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,starts walking,"3,6",
