ID,Reference,Verse,Notes,NoteFonts,Residue
1,Esther 1:1,"This book is about a Jewish woman named Esther. When this book was written, a country named Persia was ruling the Jews.~!~(NP this[Proximity] book ) (VP is ) (NP about a[Article] (AdjP Jewish ) woman (NP named Esther ) ) . [ when (NP this[Proximity] book ) (VP was written ) , ] (NP a[Article] country (NP named Persia ) ) (VP was rul+ing[Participle] ) (NP the[Article] Jew+s[Plural] ) . ",,,
2,Esther 1:2,A man named Xerxes was the king of Persia. King Xerxes chose Esther to become the queen. Esther's uncle was a man named Mordecai.~!~(NP a[Article] man (NP named Xerxes ) ) (VP was ) (NP the[Article] king (NP of Persia ) ) . (NP (NP _ King ) Xerxes ) (VP chose ) (NP Esther ) [ (NP ) (VP to[INFL] become ) (NP the[Article] queen ) ] . (NP (NP _ Esther+`s[Saxon_Genitive] ) uncle ) (VP was ) (NP a[Article] man (NP named Mordecai ) ) . ,,,
3,Esther 1:3,A man named Haman was a powerful official in Persia. Haman hated Mordecai and knew that he was a Jew. But Haman didn't know that Queen Esther was a Jew. And King Xerxes also didn't know that Queen Esther was a Jew.~!~(NP a[Article] man (NP named Haman ) ) (VP was ) (NP a[Article] (AdjP powerful ) official ) (NP in Persia ) . (NP Haman ) (VP hat+ed[Past_Tense] ) (NP Mordecai ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP he ) (VP was ) (NP a[Article] Jew ) ] ] . but (NP Haman ) (VP did not[Verb_Polarity] know ) [ that[Complementizer] (NP (NP _ Queen ) Esther ) (VP was ) (NP a[Article] Jew ) ] . and (NP (NP _ King ) Xerxes (AdvP also ) ) (VP did not[Verb_Polarity] know ) [ that[Complementizer] (NP (NP _ Queen ) Esther ) (VP was ) (NP a[Article] Jew ) ] . ,,,
4,Esther 1:4,Haman asked King Xerxes to kill all of the Jews because he hated Mordecai. So King Xerxes wrote a law that said that the people of Persia may kill all of the Jews.~!~(NP Haman ) (VP ask+ed[Past_Tense] ) (NP (NP _ King ) Xerxes ) [ (NP ) (VP to[INFL] kill ) (NP (AdjP all of ) the[Article] Jew+s[Plural] ) ] [ because (NP he ) (VP hat+ed[Past_Tense] ) (NP Mordecai ) ] . so (NP (NP _ King ) Xerxes ) (VP wrote ) (NP a[Article] law [ that[Relativizer] (NP ) (VP said ) [ that[Complementizer] (NP the[Article] people (NP of Persia ) ) (VP may[Mood] kill ) (NP (AdjP all of ) the[Article] Jew+s[Plural] ) ] ] ) . ,,,
5,Esther 1:5,"But when King Xerxes found out that Queen Esther was a Jew, King Xerxes ordered King Xerxes' soldiers to kill Haman. Then King Xerxes wrote another law that said that the Jews may kill their enemies. So God protected Queen Esther, Mordecai, and all of the Jews.~!~but [ when (NP (NP _ King ) Xerxes ) (VP found out[Adposition_in_VP] ) [ that[Complementizer] (NP (NP _ Queen ) Esther ) (VP was ) (NP a[Article] Jew ) ] , ] (NP (NP _ King ) Xerxes ) (VP ordered ) (NP (NP _ (NP _ King ) Xerxes+`[Saxon_Genitive] ) soldier+s[Plural] ) [ (NP ) (VP to[INFL] kill ) (NP Haman ) ] . then (NP (NP _ King ) Xerxes ) (VP wrote ) (NP (AdjP another ) law [ that[Relativizer] (NP ) (VP said ) [ that[Complementizer] (NP the[Article] Jew+s[Plural] ) (VP may[Mood] kill ) (NP (NP _ their ) enemi+es[Plural] ) ] ] ) . so (NP God ) (VP protect+ed[Past_Tense] ) (NP (NP _ Queen ) Esther , ) (NP Mordecai , ) (NP and (AdjP all of ) the[Article] Jew+s[Plural] ) . ",,,
6,Esther 1:6,God's name isn't in this book. But this book teaches us that God protects his people.~!~(NP (NP _ God+`s[Saxon_Genitive] ) name ) (VP isn`t ) (NP in this[Proximity] book ) . but (NP this[Proximity] book ) (VP teach+es[Third_Singular_Present] ) (NP us ) [ that[Complementizer] (NP God ) (VP protect+s[Third_Singular_Present] ) (NP (NP _ his ) people ) ] . ,,,
7,Esther 1:7,,,,
8,Esther 1:8,,,,
9,Esther 1:9,,,,
10,Esther 1:10,,,,
11,Esther 1:11,,,,
12,Esther 1:12,,,,
13,Esther 1:13,,,,
14,Esther 1:14,,,,
15,Esther 1:15,,,,
16,Esther 1:16,,,,
17,Esther 1:17,,,,
18,Esther 1:18,,,,
19,Esther 1:19,,,,
20,Esther 1:20,,,,
21,Esther 1:21,,,,
22,Esther 1:22,,,,
23,Esther 2:1,,,,
24,Esther 2:2,,,,
25,Esther 2:3,,,,
26,Esther 2:4,,,,
27,Esther 2:5,,,,
28,Esther 2:6,,,,
29,Esther 2:7,,,,
30,Esther 2:8,,,,
31,Esther 2:9,,,,
32,Esther 2:10,,,,
33,Esther 2:11,,,,
34,Esther 2:12,,,,
35,Esther 2:13,,,,
36,Esther 2:14,,,,
37,Esther 2:15,,,,
38,Esther 2:16,,,,
39,Esther 2:17,,,,
40,Esther 2:18,,,,
41,Esther 2:19,,,,
42,Esther 2:20,,,,
43,Esther 2:21,,,,
44,Esther 2:22,,,,
45,Esther 2:23,,,,
46,Esther 3:1,,,,
47,Esther 3:2,,,,
48,Esther 3:3,,,,
49,Esther 3:4,,,,
50,Esther 3:5,,,,
51,Esther 3:6,,,,
52,Esther 3:7,,,,
53,Esther 3:8,,,,
54,Esther 3:9,,,,
55,Esther 3:10,,,,
56,Esther 3:11,,,,
57,Esther 3:12,,,,
58,Esther 3:13,,,,
59,Esther 3:14,,,,
60,Esther 3:15,,,,
61,Esther 4:1,,,,
62,Esther 4:2,,,,
63,Esther 4:3,,,,
64,Esther 4:4,,,,
65,Esther 4:5,,,,
66,Esther 4:6,,,,
67,Esther 4:7,,,,
68,Esther 4:8,,,,
69,Esther 4:9,,,,
70,Esther 4:10,,,,
71,Esther 4:11,,,,
72,Esther 4:12,,,,
73,Esther 4:13,,,,
74,Esther 4:14,,,,
75,Esther 4:15,,,,
76,Esther 4:16,,,,
77,Esther 4:17,,,,
78,Esther 5:1,,,,
79,Esther 5:2,,,,
80,Esther 5:3,,,,
81,Esther 5:4,,,,
82,Esther 5:5,,,,
83,Esther 5:6,,,,
84,Esther 5:7,,,,
85,Esther 5:8,,,,
86,Esther 5:9,,,,
87,Esther 5:10,,,,
88,Esther 5:11,,,,
89,Esther 5:12,,,,
90,Esther 5:13,,,,
91,Esther 5:14,,,,
92,Esther 6:1,,,,
93,Esther 6:2,,,,
94,Esther 6:3,,,,
95,Esther 6:4,,,,
96,Esther 6:5,,,,
97,Esther 6:6,,,,
98,Esther 6:7,,,,
99,Esther 6:8,,,,
100,Esther 6:9,,,,
101,Esther 6:10,,,,
102,Esther 6:11,,,,
103,Esther 6:12,,,,
104,Esther 6:13,,,,
105,Esther 6:14,,,,
106,Esther 7:1,,,,
107,Esther 7:2,,,,
108,Esther 7:3,,,,
109,Esther 7:4,,,,
110,Esther 7:5,,,,
111,Esther 7:6,,,,
112,Esther 7:7,,,,
113,Esther 7:8,,,,
114,Esther 7:9,,,,
115,Esther 7:10,,,,
116,Esther 8:1,,,,
117,Esther 8:2,,,,
118,Esther 8:3,,,,
119,Esther 8:4,,,,
120,Esther 8:5,,,,
121,Esther 8:6,,,,
122,Esther 8:7,,,,
123,Esther 8:8,,,,
124,Esther 8:9,,,,
125,Esther 8:10,,,,
126,Esther 8:11,,,,
127,Esther 8:12,,,,
128,Esther 8:13,,,,
129,Esther 8:14,,,,
130,Esther 8:15,,,,
131,Esther 8:16,,,,
132,Esther 8:17,,,,
133,Esther 9:1,,,,
134,Esther 9:2,,,,
135,Esther 9:3,,,,
136,Esther 9:4,,,,
137,Esther 9:5,,,,
138,Esther 9:6,,,,
139,Esther 9:7,,,,
140,Esther 9:8,,,,
141,Esther 9:9,,,,
142,Esther 9:10,,,,
143,Esther 9:11,,,,
144,Esther 9:12,,,,
145,Esther 9:13,,,,
146,Esther 9:14,,,,
147,Esther 9:15,,,,
148,Esther 9:16,,,,
149,Esther 9:17,,,,
150,Esther 9:18,,,,
151,Esther 9:19,,,,
152,Esther 9:20,,,,
153,Esther 9:21,,,,
154,Esther 9:22,,,,
155,Esther 9:23,,,,
156,Esther 9:24,,,,
157,Esther 9:25,,,,
158,Esther 9:26,,,,
159,Esther 9:27,,,,
160,Esther 9:28,,,,
161,Esther 9:29,,,,
162,Esther 9:30,,,,
163,Esther 9:31,,,,
164,Esther 9:32,,,,
165,Esther 10:1,,,,
166,Esther 10:2,,,,
167,Esther 10:3,,,,
