ID,Reference,Verse,Notes,NoteFonts,Residue
1,Avian Influenza 1:1,"One day a doctor named Paulus returned from the market to his village named Terpen. While Paulus had been at the market, some people had told him about a certain disease. So when Paulus returned to his village, he said to Isak, who was the village chief, and the other people who lived in Terpen, “A new disease named Avian Influenza is killing most of the birds that are at the market. This disease killed many chickens and many ducks.",,,
2,Avian Influenza 1:2,Many people who own chickens and ducks are very sick. They are in the clinic. This disease is in many countries and is killing many people.~!~(NP (AdjP many ) people [ who[Relativizer] (NP ) (VP own ) (NP chicken+s[Plural] ) (NP and duck+s[Plural] ) ] ) (VP are ) (AdjP very[Degree] sick ) . (NP they ) (VP are ) (NP in the[Article] clinic ) . (NP this[Proximity] disease ) (VP is ) (NP in (AdjP many ) countri+es[Plural] ) [ and (NP ) (VP is kill+ing[Participle] ) (NP (AdjP many ) people ) ] . ,,,
3,Avian Influenza 1:3,"Guards are watching the farms that have many chickens. Veterinarians who know about this disease go to the market each day. They examine the birds. If a bird catches this disease, they put it in a special cage. Then they give a vaccine to that bird. They burn birds that die because of this disease.~!~(NP guard+s[Plural] ) (VP are watch+ing[Participle] ) (NP the[Article] farm+s[Plural] [ that[Relativizer] (NP ) (VP have ) (NP (AdjP many ) chicken+s[Plural] ) ] ) . (NP veterinarian+s[Plural] [ who[Relativizer] (NP ) (VP know ) (NP about this[Proximity] disease ) ] ) (VP go ) (NP to the[Article] market ) (NP (AdjP each ) day ) . (NP they ) (VP examine ) (NP the[Article] bird+s[Plural] ) . [ if (NP a[Article] bird ) (VP catch+es[Third_Singular_Present] ) (NP this[Proximity] disease ) , ] (NP they ) (VP put ) (NP it ) (NP in a[Article] (AdjP special ) cage ) . then (NP they ) (VP give ) (NP a[Article] vaccine ) (NP to that[Proximity] bird ) . (NP they ) (VP burn ) (NP bird+s[Plural] [ that[Relativizer] (NP ) (VP die ) (NP because_of this[Proximity] disease ) ] ) . ",,,
4,Avian Influenza 1:4,"People stopped watching roosters fight other roosters because some roosters died because of this disease. When roosters fight other roosters, germs move from the sick rooster to the other rooster.”",,,
5,Avian Influenza 1:5,"Chief Isak asked Paulus, “How does this disease spread?” Paulus answered, “When people touch birds that have this disease, they catch it. And when animals touch birds that have this disease, they catch it.",,,
6,Avian Influenza 1:6,"People, animals, and birds carry this disease from one place to another place. The germs travel through the air. This disease causes people, animals, and birds to become very sick. When people catch this disease, they think that they have a cold. But this disease kills people quickly.”",,,
7,Avian Influenza 1:7,The people who lived in Terpen started worrying about their families and their chickens. So Chief Isak asked all of the people to come to a meeting. Then the people started talking to each other about this disease. They wanted to prevent this disease from spreading. They didn't want their families or their chickens to catch this disease. So they decided to protect the village from this disease. They decided to do these things.~!~(NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in Terpen ) ] ) (VP started[Pre-Verbal] worry+ing[Participle] ) (NP about (NP _ their ) famili+es[Plural] ) (NP and (NP _ their ) chicken+s[Plural] ) . so (NP (NP _ Chief ) Isak ) (VP ask+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] people ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to a[Pre-Nominal] meeting ) ] . then (NP the[Pre-Nominal] people ) (VP started[Pre-Verbal] talk+ing[Participle] ) (NP to each_other ) (NP about this[Pre-Nominal] disease ) . (NP they ) (VP want+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] prevent ) (NP this[Pre-Nominal] disease ) [ from[Complementizer] (NP ) (VP spread+ing[Participle] ) ] ] . (NP they ) (VP didn`t[Pre-Verbal] want ) (NP (NP _ their ) famili+es[Plural] ) (NP or (NP _ their ) chicken+s[Plural] ) [ (NP ) (NP ) (VP to[Pre-Verbal] catch ) (NP this[Pre-Nominal] disease ) ] . so (NP they ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] protect ) (NP the[Pre-Nominal] village ) (NP from this[Pre-Nominal] disease ) ] . (NP they ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP these[Pre-Nominal] thing+s[Plural] ) ] . ,,,
8,Avian Influenza 1:8,"1) The people will build fences for their chickens. They'll give clean food and clean water to their chickens. They'll also clean the chickens' cages. 2) They'll carry their chickens to the market in bamboo cages. After the people sell the chickens at the market, they'll burn the cages at the market. 3) Before the people return to the village, they'll wash themselves with soap in the river.~!~1) (NP the[Article] people ) (VP will[INFL] build ) (NP fence+s[Plural] ) (NP for (NP _ their ) chicken+s[Plural] ) . (NP they ) (VP will[INFL] give ) (NP (AdjP clean ) food ) (NP and (AdjP clean ) water ) (NP to (NP _ their ) chicken+s[Plural] ) . (NP they ) (VP will[INFL] (AdvP also ) clean ) (NP (NP _ the[Article] chicken+s[Plural]+`[Saxon_Genitive] ) cage+s[Plural] ) . 2) (NP they ) (VP will[INFL] carry ) (NP (NP _ their ) chicken+s[Plural] ) (NP to the[Article] market ) (NP in (NP _ bamboo ) cage+s[Plural] ) . [ after (NP the[Article] people ) (VP sell ) (NP the[Article] chicken+s[Plural] ) (NP at the[Article] market ) , ] (NP they ) (VP will[INFL] burn ) (NP the[Article] cage+s[Plural] ) (NP at the[Article] market ) . 3) [ before (NP the[Article] people ) (VP return ) (NP to the[Article] village ) , ] (NP they ) (VP will[INFL] wash ) (NP themselves ) (NP with soap ) (NP in the[Article] river ) . ",,,
9,Avian Influenza 1:9,4) The people will tell their children about this disease. They'll also tell their children to chase away other birds that are close to their chickens. 5) People who live in the village won't buy more chickens until Avian Influenza leaves this region.~!~4) (NP the[Article] people ) (VP will[INFL] tell ) (NP (NP _ their ) children ) (NP about this[Proximity] disease ) . (NP they ) (VP will[INFL] (AdvP also ) tell ) (NP (NP _ their ) children ) [ (NP ) (VP to[INFL] chase away[Verbal_Adposition_moved_to_Direct_Object] ) (NP (AdjP other ) bird+s[Plural] [ that[Relativizer] (NP ) (VP are ) (AdjP close (NP to (NP _ their ) chicken+s[Plural] ) ) ] ) ] . 5) (NP people [ who[Relativizer] (NP ) (VP live ) (NP in the[Article] village ) ] ) (VP will[INFL] not[Verb_Polarity] buy ) (NP (AdjP more ) chicken+s[Plural] ) [ until (NP Avian_Influenza ) (VP leave+s[Third_Singular_Present] ) (NP this[Proximity] region ) ] . ,,,
10,Avian Influenza 1:10,"6) If a person sees a chicken that has this disease, he has to tell Paulus or Isak about it. 7) People who live in other villages must not bring chickens, eggs, or manure to Terpen.",,,
